CustomerID,Churn Value,Product Category,Product Value
2746-DIJLO,0,Device Protection,No
3374-TTZTK,0,Device Protection,Yes
8249-THVEC,0,Device Protection,No internet service
0581-BXBUB,0,Device Protection,No
9445-ZUEQE,0,Device Protection,No
6242-SGYTS,0,Device Protection,No
9621-OUPYD,0,Device Protection,No internet service
9327-QSDED,0,Device Protection,No
8547-NSBBO,0,Device Protection,Yes
5561-NWEVX,1,Device Protection,Yes
7047-YXDMZ,0,Device Protection,No internet service
9828-AOQLM,1,Device Protection,No
1575-KRZZE,0,Device Protection,No
4080-OGPJL,1,Device Protection,No
8226-BXGES,0,Device Protection,Yes
1173-NOEYG,0,Device Protection,Yes
2194-IIQOF,0,Device Protection,Yes
2599-CZABP,0,Device Protection,No
1699-TLDLZ,0,Device Protection,No internet service
2160-GPFXD,0,Device Protection,No
0374-AACSZ,0,Device Protection,No
5214-NLTIT,0,Device Protection,Yes
8120-JDCAM,0,Device Protection,No
1518-OMDIK,0,Device Protection,No
0269-XFESX,0,Device Protection,No internet service
5568-DMXZS,0,Device Protection,No
8821-KVZKQ,0,Device Protection,Yes
9101-NTIXF,0,Device Protection,No internet service
3714-JTVOV,1,Device Protection,No
4367-NHWMM,0,Device Protection,No
1371-WEPDS,0,Device Protection,No
7321-VGNKU,0,Device Protection,No
4648-YPBTM,0,Device Protection,Yes
6509-TSGWN,0,Device Protection,No internet service
3229-USWAR,0,Device Protection,Yes
4307-KTUMW,1,Device Protection,Yes
3441-CGZJH,0,Device Protection,Yes
7267-FRMJW,0,Device Protection,No internet service
6817-WTYHE,0,Device Protection,No
0481-SUMCB,0,Device Protection,Yes
3503-TYDAY,0,Device Protection,No
2157-MXBJS,1,Device Protection,Yes
2809-ZMYOQ,0,Device Protection,Yes
5480-HPRRX,1,Device Protection,No
7854-FOKSF,1,Device Protection,No
8224-DWCKX,0,Device Protection,No
0727-BNRLG,0,Device Protection,Yes
3082-YVEKW,0,Device Protection,Yes
2096-XOTMO,0,Device Protection,No internet service
8873-GLDMH,0,Device Protection,No
5692-ICXLW,0,Device Protection,No
4441-NIHPT,1,Device Protection,Yes
5840-NVDCG,0,Device Protection,No
6625-IUTTT,0,Device Protection,Yes
4256-ZWTZI,0,Device Protection,No
8627-EHGIP,1,Device Protection,Yes
6481-LXPWL,0,Device Protection,Yes
3671-SHRSP,1,Device Protection,Yes
4163-KIUHY,0,Device Protection,No internet service
5076-YVXCM,0,Device Protection,No
7134-MJPDY,0,Device Protection,Yes
9143-CANJF,0,Device Protection,No
7890-VYYWG,1,Device Protection,No
8378-LKJAF,0,Device Protection,Yes
5688-KZTSN,1,Device Protection,No internet service
7820-ZYGNY,0,Device Protection,No
3956-MGXOG,0,Device Protection,No
9903-LYSAB,0,Device Protection,No
6035-BXTTY,0,Device Protection,No
0596-BQCEQ,1,Device Protection,Yes
1060-ENTOF,0,Device Protection,Yes
3199-XGZCY,0,Device Protection,No
2230-XTUWL,0,Device Protection,No internet service
6857-TKDJV,0,Device Protection,No internet service
2207-QPJED,0,Device Protection,Yes
6994-ORCWG,0,Device Protection,No
2680-XKKNJ,0,Device Protection,No
0582-AVCLN,0,Device Protection,No internet service
9250-WYPLL,1,Device Protection,No
0406-BPDVR,1,Device Protection,No
3389-YGYAI,1,Device Protection,Yes
7164-BPTUT,0,Device Protection,Yes
1212-GLHMD,0,Device Protection,No
6654-QGBZZ,0,Device Protection,No internet service
8755-OGKNA,0,Device Protection,No internet service
7321-ZNSLA,0,Device Protection,No
8404-VLQFB,0,Device Protection,No internet service
8380-MQINP,0,Device Protection,No internet service
8345-MVDYC,0,Device Protection,Yes
9793-WECQC,0,Device Protection,No
0440-QEXBZ,0,Device Protection,No
1614-JBEBI,0,Device Protection,No internet service
1956-YIFGE,0,Device Protection,Yes
3807-BPOMJ,0,Device Protection,No
9136-ALYBR,1,Device Protection,No
9069-LGEUL,0,Device Protection,No
5035-PGZXH,0,Device Protection,Yes
5847-MXBEO,0,Device Protection,No internet service
3669-WHAFY,0,Device Protection,Yes
1728-BQDMA,0,Device Protection,No
2320-JRSDE,1,Device Protection,No internet service
4915-BFSXL,0,Device Protection,Yes
1875-QIVME,1,Device Protection,Yes
2073-QBVBI,0,Device Protection,No
4686-UXDML,0,Device Protection,No
6103-LIANB,0,Device Protection,Yes
0784-GTUUK,0,Device Protection,No internet service
7459-RRWQZ,1,Device Protection,No
7629-WFGLW,0,Device Protection,Yes
8133-ANHHJ,0,Device Protection,Yes
1087-GRUYI,0,Device Protection,No internet service
4510-HIMLV,1,Device Protection,No
7696-CFTAT,0,Device Protection,No internet service
7649-PHJVR,0,Device Protection,No internet service
3254-YRILK,1,Device Protection,No
9480-BQJEI,0,Device Protection,No
5245-VDBUR,0,Device Protection,Yes
6435-SRWBJ,0,Device Protection,Yes
9938-EKRGF,0,Device Protection,Yes
9498-FIMXL,0,Device Protection,No internet service
0936-NQLJU,0,Device Protection,No internet service
9227-LUNBG,1,Device Protection,No
5014-WUQMG,0,Device Protection,Yes
9052-DHNKM,0,Device Protection,No
1599-EAHXY,0,Device Protection,No internet service
7853-WNZSY,0,Device Protection,No internet service
4521-WFJAI,0,Device Protection,No internet service
4717-GHADL,0,Device Protection,No
8165-CBKXO,0,Device Protection,Yes
9152-AMKAK,0,Device Protection,Yes
0178-SZBHO,0,Device Protection,No
1703-MGIAB,0,Device Protection,Yes
5948-UJZLF,0,Device Protection,No
8687-BAFGU,0,Device Protection,No
2623-DRYAM,0,Device Protection,Yes
9122-UMROB,0,Device Protection,No internet service
6230-BSUXY,1,Device Protection,Yes
1792-UXAFY,1,Device Protection,Yes
0365-BZUWY,0,Device Protection,Yes
2740-TVLFN,0,Device Protection,No
1053-MXTTK,0,Device Protection,Yes
5047-LHVLY,1,Device Protection,Yes
9068-FHQHD,0,Device Protection,No internet service
9921-EZKBY,0,Device Protection,Yes
7243-LCGGZ,0,Device Protection,No internet service
2325-NBPZG,0,Device Protection,No
1041-RXHRA,1,Device Protection,No
5542-NKVRU,0,Device Protection,No internet service
1569-TTNYJ,1,Device Protection,No
4770-UEZOX,0,Device Protection,No
1265-XTECC,1,Device Protection,No
1682-VCOIO,0,Device Protection,No internet service
1258-YMZNM,0,Device Protection,Yes
1337-BOZWO,0,Device Protection,Yes
8630-QSGXK,0,Device Protection,No
7394-LWLYN,0,Device Protection,No
8584-KMVXD,0,Device Protection,No
7587-AOVVU,0,Device Protection,No
7109-MFBYV,0,Device Protection,No
7929-SKFGK,0,Device Protection,Yes
8194-PEEBY,0,Device Protection,No internet service
1963-SVUCV,1,Device Protection,No
8070-AAWZP,0,Device Protection,Yes
7752-XUSCI,1,Device Protection,Yes
4514-GFCFI,1,Device Protection,No
2237-ZFSMY,1,Device Protection,Yes
3976-NLDEZ,0,Device Protection,No internet service
5707-ZMDJP,0,Device Protection,No
8800-ZKRFW,0,Device Protection,Yes
1349-WXNGG,1,Device Protection,No internet service
9057-MSWCO,1,Device Protection,No
2307-FYNNL,0,Device Protection,Yes
3351-NGXYI,0,Device Protection,No
9174-FKWZE,1,Device Protection,No internet service
6921-OZMFH,0,Device Protection,No
5173-WXOQV,0,Device Protection,No
4432-ADRLB,1,Device Protection,No
5828-AVIPD,1,Device Protection,No
5062-CJJKH,0,Device Protection,Yes
7503-MIOGA,0,Device Protection,Yes
5269-NRGDP,0,Device Protection,Yes
8395-ETZKQ,0,Device Protection,No internet service
5125-CNDSP,0,Device Protection,No
9094-AZPHK,0,Device Protection,No
2482-CZGBB,1,Device Protection,No
6172-FECYY,1,Device Protection,No
3518-PZXZQ,0,Device Protection,No
8443-WVPSS,1,Device Protection,No
4735-BJKOU,0,Device Protection,No internet service
7883-ROJOC,0,Device Protection,No
1024-VRZHF,1,Device Protection,No
0394-YONDK,0,Device Protection,No internet service
6627-CFOSN,0,Device Protection,Yes
4013-GUXND,0,Device Protection,No internet service
3945-GFWQL,1,Device Protection,No
7337-CINUD,0,Device Protection,No internet service
3190-FZATL,0,Device Protection,No internet service
0871-URUWO,1,Device Protection,Yes
9800-ONTFE,0,Device Protection,No
3642-BYHDO,0,Device Protection,No internet service
4952-YSOGZ,1,Device Protection,No
5438-QMDDL,0,Device Protection,No
5663-QBGIS,0,Device Protection,No
6188-UXBBR,0,Device Protection,No internet service
9644-KVCNC,0,Device Protection,Yes
0655-RBDUG,1,Device Protection,Yes
8922-NPKBJ,0,Device Protection,No internet service
7018-FPXHH,0,Device Protection,Yes
8361-LTMKD,1,Device Protection,No
7446-YPODE,0,Device Protection,No
7009-PCARS,0,Device Protection,No internet service
8375-KVTHK,0,Device Protection,No
5392-AKEMH,0,Device Protection,No
4486-EFAEB,0,Device Protection,No internet service
7225-CBZPL,0,Device Protection,No
0780-XNZFN,0,Device Protection,No internet service
2931-XIQBR,0,Device Protection,Yes
7851-FLGGQ,1,Device Protection,No
0135-NMXAP,1,Device Protection,No
8705-WZCYL,0,Device Protection,No
0829-DDVLK,0,Device Protection,No internet service
6258-PVZWJ,0,Device Protection,Yes
0224-HJAPT,1,Device Protection,No
5919-VCZYM,0,Device Protection,No internet service
6308-CQRBU,0,Device Protection,Yes
3213-VVOLG,0,Device Protection,No internet service
5590-BYNII,1,Device Protection,No
4993-JCRGJ,0,Device Protection,Yes
5712-PTIWW,1,Device Protection,Yes
3130-ICDUP,0,Device Protection,No
3566-HJGPK,0,Device Protection,No
5099-BAILX,1,Device Protection,Yes
5129-JLPIS,0,Device Protection,Yes
8659-IOOPU,0,Device Protection,Yes
7078-NVFAM,0,Device Protection,No
5074-FBGHB,0,Device Protection,Yes
3016-KSVCP,0,Device Protection,No
5829-NVSQN,0,Device Protection,Yes
5825-XJOCM,0,Device Protection,Yes
5075-JSDKI,0,Device Protection,No internet service
8728-SKJLR,0,Device Protection,No
4735-ASGMA,1,Device Protection,Yes
9578-VRMNM,1,Device Protection,Yes
2676-ISHSF,0,Device Protection,No internet service
2856-NNASM,1,Device Protection,No
2812-ENYMO,0,Device Protection,No
4079-WWQQQ,0,Device Protection,Yes
6000-UKLWI,0,Device Protection,No internet service
6892-XPFPU,1,Device Protection,Yes
0363-SVHYR,0,Device Protection,Yes
0508-SQWPL,0,Device Protection,No internet service
2323-ARSVR,0,Device Protection,Yes
3606-SBKRY,0,Device Protection,Yes
5067-DGXLL,0,Device Protection,No internet service
0523-VNGTF,0,Device Protection,Yes
1877-HKBQX,0,Device Protection,No
4713-ZBURT,0,Device Protection,Yes
5061-PBXFW,0,Device Protection,No
5774-XZTQC,0,Device Protection,No internet service
4121-AGSIN,0,Device Protection,No internet service
0420-BWTPW,1,Device Protection,No
2137-DQMEV,0,Device Protection,No
1265-ZFOSD,0,Device Protection,Yes
7688-AWMDX,0,Device Protection,No
5729-KLZAR,1,Device Protection,No
1116-FRYVH,0,Device Protection,No
5536-SLHPM,1,Device Protection,Yes
2272-WUSPA,0,Device Protection,Yes
3407-JMJQQ,0,Device Protection,Yes
4614-NUVZD,1,Device Protection,No
1919-RTPQD,0,Device Protection,No
8746-BFOAJ,0,Device Protection,No internet service
8060-HIWJJ,0,Device Protection,Yes
3887-PBQAO,0,Device Protection,No internet service
6457-GIRWB,1,Device Protection,No
5546-QUERU,0,Device Protection,No internet service
1469-LBJQJ,0,Device Protection,Yes
3085-QUOZK,1,Device Protection,No
3319-DWOEP,1,Device Protection,Yes
0817-HSUSE,0,Device Protection,Yes
5642-MHDQT,0,Device Protection,No internet service
2019-HDCZY,0,Device Protection,Yes
5365-LLFYV,0,Device Protection,No
0048-PIHNL,0,Device Protection,No internet service
8883-GRDWQ,0,Device Protection,No
2898-LSJGD,1,Device Protection,Yes
6506-EYCNH,0,Device Protection,No internet service
6143-JQKEA,0,Device Protection,No
4873-ILOLJ,1,Device Protection,No
9278-VZKCD,0,Device Protection,Yes
5655-JSMZM,1,Device Protection,No
0771-WLCLA,0,Device Protection,Yes
6289-CPNLD,1,Device Protection,Yes
6961-MJKBO,0,Device Protection,No internet service
3597-YASZG,0,Device Protection,No
9522-ZSINC,0,Device Protection,No internet service
4718-DHSMV,0,Device Protection,No
1728-CXQBE,0,Device Protection,Yes
0442-TDYUO,0,Device Protection,No internet service
7176-WIONM,0,Device Protection,Yes
4806-DXQCE,0,Device Protection,Yes
5038-ETMLM,0,Device Protection,Yes
7182-OVLBJ,0,Device Protection,No
1935-IMVBB,0,Device Protection,No
7354-OIJLX,0,Device Protection,No
4229-CZMLL,1,Device Protection,No
1228-ZLNBX,0,Device Protection,No
6807-SIWJI,0,Device Protection,No
4701-AHWMW,1,Device Protection,Yes
1209-VFFOC,0,Device Protection,Yes
6203-HBZPA,0,Device Protection,Yes
3146-MSEGF,0,Device Protection,Yes
8046-DNVTL,0,Device Protection,No
8313-KTIHG,0,Device Protection,No
3815-SLMEF,1,Device Protection,No
9705-IOVQQ,0,Device Protection,No
9805-FILKB,0,Device Protection,No internet service
5995-WWKKG,0,Device Protection,No internet service
3508-CFVZL,0,Device Protection,Yes
4837-QUSFT,0,Device Protection,No
8003-EWNDZ,0,Device Protection,No internet service
3546-GHEAE,0,Device Protection,No internet service
2999-AANRQ,0,Device Protection,No
7340-KEFQE,0,Device Protection,No
2272-JKMSI,0,Device Protection,Yes
3563-SVYLG,0,Device Protection,Yes
8250-ZNGGW,0,Device Protection,No
7641-EUYET,1,Device Protection,Yes
2481-SBOYW,0,Device Protection,No internet service
2074-GUHPQ,0,Device Protection,Yes
8053-WWDRO,1,Device Protection,No internet service
3363-EWLGO,0,Device Protection,No internet service
9770-LXDBK,0,Device Protection,No internet service
7030-FZTFM,0,Device Protection,Yes
8268-YDIXR,0,Device Protection,Yes
2921-XWDJH,0,Device Protection,No
8205-VSLRB,0,Device Protection,Yes
1840-BIUOG,0,Device Protection,No
4678-DVQEO,1,Device Protection,No
6204-IEUXJ,1,Device Protection,Yes
3990-QYKBE,1,Device Protection,No
5275-PMFUT,0,Device Protection,Yes
0471-LVHGK,1,Device Protection,Yes
1480-IVEVR,0,Device Protection,Yes
3569-EDBPQ,0,Device Protection,No
9058-MJLZC,0,Device Protection,No
1028-FFNJK,0,Device Protection,No
0096-FCPUF,0,Device Protection,No
4742-TXUEX,0,Device Protection,No internet service
4302-ZYFEL,0,Device Protection,No internet service
2688-BHGOG,0,Device Protection,No
3235-ETOOB,1,Device Protection,No
9835-ZIITK,1,Device Protection,Yes
8040-MNRTF,0,Device Protection,No
9787-XVQIU,1,Device Protection,No
1845-ZLLIG,0,Device Protection,No
1494-EJZDW,0,Device Protection,No internet service
9462-MJUAW,1,Device Protection,No
1666-JZPZT,0,Device Protection,No
1159-WFSGR,0,Device Protection,No internet service
2777-PHDEI,1,Device Protection,No
3219-JQRSL,0,Device Protection,Yes
0324-BRPCJ,1,Device Protection,No
5915-DGNVC,0,Device Protection,Yes
5240-CAOYT,0,Device Protection,No
8006-PYCSW,0,Device Protection,No internet service
3096-IZETN,1,Device Protection,No
6141-OOXUQ,1,Device Protection,No internet service
4587-VVTOX,1,Device Protection,Yes
3672-YITQD,1,Device Protection,No
9993-LHIEB,0,Device Protection,Yes
9725-SCPZG,1,Device Protection,No
3489-HHPFY,0,Device Protection,No
6559-ILWKJ,1,Device Protection,No
6890-PFRQX,0,Device Protection,Yes
0723-VSOBE,0,Device Protection,No
6837-HAEVO,0,Device Protection,Yes
4403-BWPAY,0,Device Protection,No internet service
7233-DRTRF,0,Device Protection,Yes
1452-KIOVK,0,Device Protection,No
6332-FBZRI,0,Device Protection,Yes
7534-BFESC,1,Device Protection,No
9620-QJREV,0,Device Protection,No internet service
4106-HADHQ,1,Device Protection,Yes
2996-XAUVF,0,Device Protection,No
8008-OTEZX,0,Device Protection,No internet service
1809-DMJHQ,1,Device Protection,No
3612-YUNGG,0,Device Protection,Yes
2580-ATZSQ,0,Device Protection,Yes
3181-MIZBN,0,Device Protection,No internet service
5364-EVNIB,1,Device Protection,Yes
6285-FTQBF,0,Device Protection,No internet service
5537-UXXVS,0,Device Protection,No internet service
0013-SMEOE,0,Device Protection,Yes
0916-QOFDP,0,Device Protection,No
2530-ENDWQ,1,Device Protection,No
3162-KKZXO,0,Device Protection,Yes
7931-PXHFC,1,Device Protection,Yes
9402-ORRAH,0,Device Protection,No
6569-KTMDU,0,Device Protection,No internet service
2236-HILPA,0,Device Protection,No internet service
0723-FDLAY,0,Device Protection,Yes
0463-TXOAK,0,Device Protection,No internet service
8695-WDYEA,0,Device Protection,No
7717-BICXI,0,Device Protection,No internet service
1241-FPMOF,0,Device Protection,No internet service
7941-RCJOW,0,Device Protection,No internet service
2775-SEFEE,0,Device Protection,No
9102-IAYHT,1,Device Protection,No
7718-UPSKJ,0,Device Protection,No
6806-YDEUL,0,Device Protection,No internet service
9076-AXYIK,0,Device Protection,Yes
9919-YLNNG,0,Device Protection,Yes
5549-ZGHFB,0,Device Protection,No internet service
5747-PMBSQ,1,Device Protection,Yes
8915-NNTRC,0,Device Protection,No
0221-WMXNQ,0,Device Protection,No
5985-TBABQ,0,Device Protection,No
2186-QZEYA,0,Device Protection,No
3727-JEZTU,0,Device Protection,No internet service
5656-JAMLX,0,Device Protection,No internet service
2696-RZVZW,0,Device Protection,No internet service
5054-IEXZT,1,Device Protection,No
5136-GFPMB,0,Device Protection,Yes
4727-MCYZG,0,Device Protection,No
3486-NPGST,0,Device Protection,No internet service
8981-FJGLA,0,Device Protection,Yes
5947-SGKCL,0,Device Protection,Yes
1241-EZFMJ,0,Device Protection,No internet service
9565-FLVCG,0,Device Protection,No
6360-SVNWV,0,Device Protection,No
5748-RNCJT,1,Device Protection,Yes
1895-QTKDO,0,Device Protection,No
2890-WFBHU,0,Device Protection,Yes
6668-CNMFP,0,Device Protection,No
3398-FSHON,1,Device Protection,No
3317-VLGQT,0,Device Protection,No
5950-AAAGJ,0,Device Protection,No
8631-XVRZL,0,Device Protection,No internet service
5716-LIBJC,0,Device Protection,Yes
1577-HKTFG,1,Device Protection,No internet service
3097-PYWXL,0,Device Protection,No internet service
3635-QQRQD,0,Device Protection,No internet service
0023-UYUPN,0,Device Protection,No internet service
7609-YBPXG,0,Device Protection,Yes
1448-PWKYE,1,Device Protection,No
7336-RLLRH,0,Device Protection,No
8681-ICONS,0,Device Protection,No internet service
7746-QYVCO,0,Device Protection,No
2625-TRCZQ,0,Device Protection,No
5668-MEISB,0,Device Protection,Yes
1088-AUUZZ,0,Device Protection,No
6164-HAQTX,0,Device Protection,Yes
0235-KGSLC,1,Device Protection,Yes
5161-XEUVX,0,Device Protection,Yes
1563-IWQEX,0,Device Protection,No internet service
9746-UGFAC,0,Device Protection,No internet service
0670-KDOMA,0,Device Protection,No internet service
0056-EPFBG,0,Device Protection,Yes
7083-MIOPC,0,Device Protection,No internet service
7823-JSOAG,0,Device Protection,No
8100-HZZLJ,0,Device Protection,No
6013-BHCAW,0,Device Protection,Yes
0329-GTIAJ,1,Device Protection,No
8510-BBWMU,0,Device Protection,No internet service
2697-NQBPF,0,Device Protection,No
5996-EBTKM,0,Device Protection,Yes
3296-SILRA,1,Device Protection,No
1074-WVEVG,0,Device Protection,No internet service
9670-BPNXF,0,Device Protection,No
7563-BIUPC,1,Device Protection,No
7706-DZNKK,0,Device Protection,No internet service
6410-LEFEN,1,Device Protection,No
8383-SGHJU,0,Device Protection,No
2501-XWWTZ,0,Device Protection,No
5493-SDRDQ,1,Device Protection,Yes
6292-TOSSS,0,Device Protection,No internet service
4480-MBMLB,0,Device Protection,Yes
7639-SUPCW,1,Device Protection,No
0868-VJRDR,0,Device Protection,No
5445-GLVOT,0,Device Protection,No
4355-CVPVS,0,Device Protection,No
7661-CPURM,0,Device Protection,No
8550-XSXUQ,0,Device Protection,Yes
9971-ZWPBF,0,Device Protection,Yes
3320-VEOYC,0,Device Protection,No
8149-RSOUN,1,Device Protection,No
5168-MSWXT,0,Device Protection,Yes
8626-PTQGE,0,Device Protection,No
6671-NGWON,0,Device Protection,No internet service
4318-RAJVY,0,Device Protection,No internet service
6407-UTSLV,0,Device Protection,No
8878-HMWBV,1,Device Protection,Yes
7754-IXRMC,0,Device Protection,No
1746-TGTWV,0,Device Protection,Yes
7176-WRTNX,0,Device Protection,Yes
2587-YNLES,0,Device Protection,No internet service
7718-RXDGG,0,Device Protection,No
9850-OWRHQ,1,Device Protection,No
1397-XKKWR,0,Device Protection,Yes
8033-ATFAS,0,Device Protection,Yes
7145-FEJWU,0,Device Protection,Yes
8905-IAZPF,0,Device Protection,No
0082-OQIQY,0,Device Protection,No
0377-JBKKT,0,Device Protection,No
0795-LAFGP,0,Device Protection,Yes
8417-GSODA,0,Device Protection,No
9442-JTWDL,0,Device Protection,No internet service
5751-USDBL,0,Device Protection,Yes
4465-VDKIQ,0,Device Protection,Yes
6467-CHFZW,1,Device Protection,No
7976-CICYS,0,Device Protection,No internet service
2178-PMGCJ,0,Device Protection,No
6050-FFXES,0,Device Protection,Yes
7128-GGCNO,0,Device Protection,No
1567-DSCIC,1,Device Protection,Yes
5495-GPSRW,0,Device Protection,No internet service
1403-LKLIK,0,Device Protection,No internet service
4323-OHFOW,0,Device Protection,No
7817-OMJNA,0,Device Protection,No internet service
2582-FFFZR,0,Device Protection,Yes
7968-QUXNS,0,Device Protection,No internet service
6877-LGWXO,1,Device Protection,No
4603-JANFB,1,Device Protection,No
1972-XMUWV,0,Device Protection,No
3345-PBBFH,0,Device Protection,No
2227-JRSJX,0,Device Protection,No
0336-KXKFK,0,Device Protection,Yes
0107-WESLM,1,Device Protection,No internet service
2786-GCDPI,0,Device Protection,Yes
6234-RAAPL,0,Device Protection,No
1169-WCVAK,0,Device Protection,No
5445-UTODQ,1,Device Protection,No
2749-CTKAJ,0,Device Protection,No internet service
1534-OULXE,0,Device Protection,No
8819-WFGGJ,0,Device Protection,Yes
8329-IBCTI,1,Device Protection,No internet service
0488-GSLFR,1,Device Protection,No
1998-VHJHK,0,Device Protection,No internet service
4257-GAESD,0,Device Protection,No
9631-RXVJM,0,Device Protection,No internet service
0859-YGKFW,0,Device Protection,No internet service
4424-TKOPW,1,Device Protection,No
5539-TMZLF,1,Device Protection,No
1816-FLZDK,0,Device Protection,No
4404-HIBDJ,1,Device Protection,Yes
3552-CTCYF,0,Device Protection,Yes
5981-ITEMU,1,Device Protection,No
0112-QWPNC,1,Device Protection,Yes
8591-TKMZH,0,Device Protection,No
3324-OIRTO,0,Device Protection,Yes
5456-ITGIC,0,Device Protection,Yes
8328-SKJNO,0,Device Protection,No
2931-VUVJN,0,Device Protection,Yes
1930-WNXSB,0,Device Protection,No
5567-GZKQY,0,Device Protection,No internet service
1853-UDXBW,1,Device Protection,No
9137-NOQKA,0,Device Protection,No internet service
1400-WIVLL,0,Device Protection,Yes
4706-DGAHW,0,Device Protection,No
7033-CLAMM,0,Device Protection,No internet service
0743-HRVFF,0,Device Protection,Yes
2789-CZANW,0,Device Protection,No
0895-LNKRC,0,Device Protection,No internet service
4789-KWMXN,1,Device Protection,Yes
0244-LGNFY,0,Device Protection,Yes
3285-UCQVC,1,Device Protection,No
7903-CMPEY,1,Device Protection,No
0565-IYCGT,1,Device Protection,Yes
1862-QRWPE,0,Device Protection,No internet service
4729-XKASR,1,Device Protection,No
9919-FZDED,0,Device Protection,Yes
8106-GWQOK,0,Device Protection,No
1216-BGTSP,0,Device Protection,Yes
1194-HVAIF,0,Device Protection,No
0512-FLFDW,0,Device Protection,Yes
9367-WXLCH,1,Device Protection,No
5032-MIYKT,0,Device Protection,No
2606-RMDHZ,1,Device Protection,No
2480-JZOSN,0,Device Protection,No internet service
2858-EIMXH,0,Device Protection,No
6752-APNJL,0,Device Protection,No
9972-NKTFD,0,Device Protection,No
9142-KZXOP,0,Device Protection,No
9081-WWXKP,0,Device Protection,No internet service
5442-XSDCW,1,Device Protection,No
9167-APMXZ,0,Device Protection,No
9831-BPFRI,1,Device Protection,Yes
5787-KXGIY,0,Device Protection,No internet service
4939-KYYPY,0,Device Protection,Yes
2911-UREFD,1,Device Protection,Yes
9798-DRYDS,0,Device Protection,Yes
1686-STUHN,0,Device Protection,No internet service
0208-BPQEJ,0,Device Protection,No internet service
1635-HDGFT,0,Device Protection,No internet service
0675-NCDYU,0,Device Protection,Yes
1600-DILPE,0,Device Protection,No
4709-LKHYG,0,Device Protection,No internet service
1619-YWUBB,0,Device Protection,No internet service
3606-TWKGI,1,Device Protection,Yes
5808-TOTXO,0,Device Protection,No internet service
6896-SRVYQ,0,Device Protection,Yes
9362-MWODR,0,Device Protection,No
7016-NVRIC,0,Device Protection,Yes
4317-VTEOA,1,Device Protection,No
2504-DSHIH,0,Device Protection,No
0843-WTBXE,1,Device Protection,No
4572-DVCGN,1,Device Protection,No
7175-NTIXE,0,Device Protection,No
2220-IAHLS,0,Device Protection,No internet service
9860-LISIZ,0,Device Protection,No internet service
9522-BNTHX,0,Device Protection,Yes
7239-HZZCX,1,Device Protection,No internet service
8152-VETUR,0,Device Protection,No
4707-YNOQA,0,Device Protection,No internet service
7516-GMHUV,0,Device Protection,Yes
5440-VHLUL,0,Device Protection,No
9995-HOTOH,0,Device Protection,Yes
3810-PJUHR,0,Device Protection,No internet service
9526-JAWYF,1,Device Protection,Yes
1260-TTRXI,1,Device Protection,No
7470-MCQTK,1,Device Protection,Yes
2586-CWXVV,0,Device Protection,No
8937-RDTHP,1,Device Protection,No
4826-DXMUP,0,Device Protection,No
4700-UBQMV,0,Device Protection,No
