CustomerID,Churn Value,Demographic Category,Demographic Value
9938-EKRGF,0,Gender,Female
9498-FIMXL,0,Gender,Female
0936-NQLJU,0,Gender,Female
9227-LUNBG,1,Gender,Female
5014-WUQMG,0,Gender,Male
9052-DHNKM,0,Gender,Male
1599-EAHXY,0,Gender,Male
7853-WNZSY,0,Gender,Male
4521-WFJAI,0,Gender,Male
4717-GHADL,0,Gender,Female
8165-CBKXO,0,Gender,Male
9152-AMKAK,0,Gender,Male
0178-SZBHO,0,Gender,Male
1703-MGIAB,0,Gender,Female
5948-UJZLF,0,Gender,Male
8687-BAFGU,0,Gender,Male
2623-DRYAM,0,Gender,Female
9122-UMROB,0,Gender,Male
6230-BSUXY,1,Gender,Female
1792-UXAFY,1,Gender,Female
0365-BZUWY,0,Gender,Male
2740-TVLFN,0,Gender,Male
1053-MXTTK,0,Gender,Female
5047-LHVLY,1,Gender,Male
9068-FHQHD,0,Gender,Female
9921-EZKBY,0,Gender,Male
7243-LCGGZ,0,Gender,Female
2325-NBPZG,0,Gender,Female
1041-RXHRA,1,Gender,Female
5542-NKVRU,0,Gender,Female
1569-TTNYJ,1,Gender,Male
4770-UEZOX,0,Gender,Male
1265-XTECC,1,Gender,Female
1682-VCOIO,0,Gender,Male
1258-YMZNM,0,Gender,Female
1337-BOZWO,0,Gender,Male
8630-QSGXK,0,Gender,Male
7394-LWLYN,0,Gender,Female
8584-KMVXD,0,Gender,Female
7587-AOVVU,0,Gender,Male
7109-MFBYV,0,Gender,Male
7929-SKFGK,0,Gender,Male
8194-PEEBY,0,Gender,Female
1963-SVUCV,1,Gender,Male
8070-AAWZP,0,Gender,Male
7752-XUSCI,1,Gender,Female
4514-GFCFI,1,Gender,Female
2237-ZFSMY,1,Gender,Female
3976-NLDEZ,0,Gender,Male
5707-ZMDJP,0,Gender,Male
8800-ZKRFW,0,Gender,Female
1349-WXNGG,1,Gender,Male
9057-MSWCO,1,Gender,Male
2307-FYNNL,0,Gender,Male
3351-NGXYI,0,Gender,Female
9174-FKWZE,1,Gender,Female
6921-OZMFH,0,Gender,Male
5173-WXOQV,0,Gender,Male
4432-ADRLB,1,Gender,Male
5828-AVIPD,1,Gender,Male
5062-CJJKH,0,Gender,Male
7503-MIOGA,0,Gender,Female
5269-NRGDP,0,Gender,Male
8395-ETZKQ,0,Gender,Male
5125-CNDSP,0,Gender,Male
9094-AZPHK,0,Gender,Female
2482-CZGBB,1,Gender,Male
6172-FECYY,1,Gender,Male
3518-PZXZQ,0,Gender,Female
8443-WVPSS,1,Gender,Male
4735-BJKOU,0,Gender,Female
7883-ROJOC,0,Gender,Female
1024-VRZHF,1,Gender,Male
0394-YONDK,0,Gender,Male
6627-CFOSN,0,Gender,Female
4013-GUXND,0,Gender,Male
3945-GFWQL,1,Gender,Female
7337-CINUD,0,Gender,Female
3190-FZATL,0,Gender,Male
0871-URUWO,1,Gender,Male
9800-ONTFE,0,Gender,Female
3642-BYHDO,0,Gender,Female
4952-YSOGZ,1,Gender,Female
5438-QMDDL,0,Gender,Female
5663-QBGIS,0,Gender,Male
6188-UXBBR,0,Gender,Female
9644-KVCNC,0,Gender,Female
0655-RBDUG,1,Gender,Male
8922-NPKBJ,0,Gender,Male
7018-FPXHH,0,Gender,Male
8361-LTMKD,1,Gender,Male
7446-YPODE,0,Gender,Male
7009-PCARS,0,Gender,Male
8375-KVTHK,0,Gender,Male
5392-AKEMH,0,Gender,Female
4486-EFAEB,0,Gender,Male
7225-CBZPL,0,Gender,Male
0780-XNZFN,0,Gender,Male
2931-XIQBR,0,Gender,Female
7851-FLGGQ,1,Gender,Male
0135-NMXAP,1,Gender,Female
8705-WZCYL,0,Gender,Male
0829-DDVLK,0,Gender,Female
6258-PVZWJ,0,Gender,Male
0224-HJAPT,1,Gender,Male
5919-VCZYM,0,Gender,Male
6308-CQRBU,0,Gender,Female
3213-VVOLG,0,Gender,Male
5590-BYNII,1,Gender,Male
4993-JCRGJ,0,Gender,Male
5712-PTIWW,1,Gender,Male
3130-ICDUP,0,Gender,Female
3566-HJGPK,0,Gender,Male
5099-BAILX,1,Gender,Male
5129-JLPIS,0,Gender,Male
8659-IOOPU,0,Gender,Female
7078-NVFAM,0,Gender,Female
5074-FBGHB,0,Gender,Male
3016-KSVCP,0,Gender,Male
5829-NVSQN,0,Gender,Female
5825-XJOCM,0,Gender,Male
5075-JSDKI,0,Gender,Female
8728-SKJLR,0,Gender,Male
4735-ASGMA,1,Gender,Male
9578-VRMNM,1,Gender,Female
2676-ISHSF,0,Gender,Male
2856-NNASM,1,Gender,Male
2812-ENYMO,0,Gender,Male
4079-WWQQQ,0,Gender,Male
6000-UKLWI,0,Gender,Male
6892-XPFPU,1,Gender,Male
0363-SVHYR,0,Gender,Male
0508-SQWPL,0,Gender,Female
2323-ARSVR,0,Gender,Male
3606-SBKRY,0,Gender,Male
5067-DGXLL,0,Gender,Male
0523-VNGTF,0,Gender,Female
1877-HKBQX,0,Gender,Female
4713-ZBURT,0,Gender,Male
5061-PBXFW,0,Gender,Female
5774-XZTQC,0,Gender,Female
4121-AGSIN,0,Gender,Female
0420-BWTPW,1,Gender,Male
2137-DQMEV,0,Gender,Male
1265-ZFOSD,0,Gender,Female
7688-AWMDX,0,Gender,Male
5729-KLZAR,1,Gender,Female
1116-FRYVH,0,Gender,Female
5536-SLHPM,1,Gender,Female
2272-WUSPA,0,Gender,Female
3407-JMJQQ,0,Gender,Female
4614-NUVZD,1,Gender,Female
1919-RTPQD,0,Gender,Male
8746-BFOAJ,0,Gender,Male
8060-HIWJJ,0,Gender,Male
3887-PBQAO,0,Gender,Female
6457-GIRWB,1,Gender,Male
5546-QUERU,0,Gender,Male
1469-LBJQJ,0,Gender,Female
3085-QUOZK,1,Gender,Female
3319-DWOEP,1,Gender,Male
0817-HSUSE,0,Gender,Male
5642-MHDQT,0,Gender,Female
2019-HDCZY,0,Gender,Male
5365-LLFYV,0,Gender,Female
0048-PIHNL,0,Gender,Female
8883-GRDWQ,0,Gender,Male
2898-LSJGD,1,Gender,Female
6506-EYCNH,0,Gender,Female
6143-JQKEA,0,Gender,Male
4873-ILOLJ,1,Gender,Male
9278-VZKCD,0,Gender,Female
5655-JSMZM,1,Gender,Male
0771-WLCLA,0,Gender,Female
6289-CPNLD,1,Gender,Male
6961-MJKBO,0,Gender,Male
3597-YASZG,0,Gender,Female
9522-ZSINC,0,Gender,Male
4718-DHSMV,0,Gender,Female
1728-CXQBE,0,Gender,Male
0442-TDYUO,0,Gender,Male
7176-WIONM,0,Gender,Female
4806-DXQCE,0,Gender,Female
5038-ETMLM,0,Gender,Female
7182-OVLBJ,0,Gender,Female
1935-IMVBB,0,Gender,Male
7354-OIJLX,0,Gender,Male
4229-CZMLL,1,Gender,Male
1228-ZLNBX,0,Gender,Male
6807-SIWJI,0,Gender,Male
4701-AHWMW,1,Gender,Male
1209-VFFOC,0,Gender,Male
6203-HBZPA,0,Gender,Male
3146-MSEGF,0,Gender,Female
8046-DNVTL,0,Gender,Male
8313-KTIHG,0,Gender,Male
3815-SLMEF,1,Gender,Female
9705-IOVQQ,0,Gender,Male
9805-FILKB,0,Gender,Male
5995-WWKKG,0,Gender,Female
3508-CFVZL,0,Gender,Female
4837-QUSFT,0,Gender,Female
8003-EWNDZ,0,Gender,Female
3546-GHEAE,0,Gender,Male
2999-AANRQ,0,Gender,Female
7340-KEFQE,0,Gender,Female
2272-JKMSI,0,Gender,Female
3563-SVYLG,0,Gender,Male
8250-ZNGGW,0,Gender,Female
7641-EUYET,1,Gender,Male
2481-SBOYW,0,Gender,Female
2074-GUHPQ,0,Gender,Female
8053-WWDRO,1,Gender,Female
3363-EWLGO,0,Gender,Female
9770-LXDBK,0,Gender,Female
7030-FZTFM,0,Gender,Male
8268-YDIXR,0,Gender,Male
2921-XWDJH,0,Gender,Female
8205-VSLRB,0,Gender,Male
1840-BIUOG,0,Gender,Male
4678-DVQEO,1,Gender,Female
6204-IEUXJ,1,Gender,Female
3990-QYKBE,1,Gender,Male
5275-PMFUT,0,Gender,Male
0471-LVHGK,1,Gender,Male
1480-IVEVR,0,Gender,Male
3569-EDBPQ,0,Gender,Female
9058-MJLZC,0,Gender,Female
1028-FFNJK,0,Gender,Male
0096-FCPUF,0,Gender,Male
4742-TXUEX,0,Gender,Female
4302-ZYFEL,0,Gender,Male
2688-BHGOG,0,Gender,Male
3235-ETOOB,1,Gender,Male
9835-ZIITK,1,Gender,Male
8040-MNRTF,0,Gender,Female
9787-XVQIU,1,Gender,Male
1845-ZLLIG,0,Gender,Male
1494-EJZDW,0,Gender,Female
9462-MJUAW,1,Gender,Male
1666-JZPZT,0,Gender,Male
1159-WFSGR,0,Gender,Female
2777-PHDEI,1,Gender,Female
3219-JQRSL,0,Gender,Female
0324-BRPCJ,1,Gender,Female
5915-DGNVC,0,Gender,Female
5240-CAOYT,0,Gender,Female
8006-PYCSW,0,Gender,Female
3096-IZETN,1,Gender,Female
6141-OOXUQ,1,Gender,Male
4587-VVTOX,1,Gender,Female
3672-YITQD,1,Gender,Male
9993-LHIEB,0,Gender,Male
9725-SCPZG,1,Gender,Male
3489-HHPFY,0,Gender,Female
6559-ILWKJ,1,Gender,Male
6890-PFRQX,0,Gender,Male
0723-VSOBE,0,Gender,Female
6837-HAEVO,0,Gender,Male
4403-BWPAY,0,Gender,Male
7233-DRTRF,0,Gender,Male
1452-KIOVK,0,Gender,Male
6332-FBZRI,0,Gender,Male
7534-BFESC,1,Gender,Male
9620-QJREV,0,Gender,Male
4106-HADHQ,1,Gender,Male
2996-XAUVF,0,Gender,Male
8008-OTEZX,0,Gender,Female
1809-DMJHQ,1,Gender,Female
3612-YUNGG,0,Gender,Male
2580-ATZSQ,0,Gender,Female
3181-MIZBN,0,Gender,Male
5364-EVNIB,1,Gender,Male
6285-FTQBF,0,Gender,Male
5537-UXXVS,0,Gender,Female
0013-SMEOE,0,Gender,Female
0916-QOFDP,0,Gender,Female
2530-ENDWQ,1,Gender,Female
3162-KKZXO,0,Gender,Female
7931-PXHFC,1,Gender,Male
9402-ORRAH,0,Gender,Female
6569-KTMDU,0,Gender,Female
2236-HILPA,0,Gender,Male
0723-FDLAY,0,Gender,Male
0463-TXOAK,0,Gender,Male
8695-WDYEA,0,Gender,Male
7717-BICXI,0,Gender,Male
1241-FPMOF,0,Gender,Male
7941-RCJOW,0,Gender,Male
2775-SEFEE,0,Gender,Male
9102-IAYHT,1,Gender,Female
7718-UPSKJ,0,Gender,Female
6806-YDEUL,0,Gender,Female
9076-AXYIK,0,Gender,Male
9919-YLNNG,0,Gender,Female
5549-ZGHFB,0,Gender,Male
5747-PMBSQ,1,Gender,Male
8915-NNTRC,0,Gender,Male
0221-WMXNQ,0,Gender,Male
5985-TBABQ,0,Gender,Female
2186-QZEYA,0,Gender,Female
3727-JEZTU,0,Gender,Female
5656-JAMLX,0,Gender,Male
2696-RZVZW,0,Gender,Male
5054-IEXZT,1,Gender,Male
5136-GFPMB,0,Gender,Male
4727-MCYZG,0,Gender,Male
3486-NPGST,0,Gender,Female
8981-FJGLA,0,Gender,Male
5947-SGKCL,0,Gender,Female
1241-EZFMJ,0,Gender,Male
9565-FLVCG,0,Gender,Male
6360-SVNWV,0,Gender,Female
5748-RNCJT,1,Gender,Male
1895-QTKDO,0,Gender,Female
2890-WFBHU,0,Gender,Female
6668-CNMFP,0,Gender,Female
3398-FSHON,1,Gender,Female
3317-VLGQT,0,Gender,Female
5950-AAAGJ,0,Gender,Male
8631-XVRZL,0,Gender,Male
5716-LIBJC,0,Gender,Female
1577-HKTFG,1,Gender,Female
3097-PYWXL,0,Gender,Female
3635-QQRQD,0,Gender,Male
0023-UYUPN,0,Gender,Female
7609-YBPXG,0,Gender,Male
1448-PWKYE,1,Gender,Male
7336-RLLRH,0,Gender,Male
8681-ICONS,0,Gender,Male
7746-QYVCO,0,Gender,Male
2625-TRCZQ,0,Gender,Female
5668-MEISB,0,Gender,Female
1088-AUUZZ,0,Gender,Male
6164-HAQTX,0,Gender,Male
0235-KGSLC,1,Gender,Female
5161-XEUVX,0,Gender,Male
1563-IWQEX,0,Gender,Female
9746-UGFAC,0,Gender,Female
0670-KDOMA,0,Gender,Female
0056-EPFBG,0,Gender,Male
7083-MIOPC,0,Gender,Female
7823-JSOAG,0,Gender,Male
8100-HZZLJ,0,Gender,Female
6013-BHCAW,0,Gender,Male
0329-GTIAJ,1,Gender,Female
8510-BBWMU,0,Gender,Female
2697-NQBPF,0,Gender,Male
5996-EBTKM,0,Gender,Female
3296-SILRA,1,Gender,Female
1074-WVEVG,0,Gender,Female
9670-BPNXF,0,Gender,Female
7563-BIUPC,1,Gender,Male
7706-DZNKK,0,Gender,Male
6410-LEFEN,1,Gender,Female
8383-SGHJU,0,Gender,Female
2501-XWWTZ,0,Gender,Male
5493-SDRDQ,1,Gender,Male
6292-TOSSS,0,Gender,Male
4480-MBMLB,0,Gender,Female
7639-SUPCW,1,Gender,Female
0868-VJRDR,0,Gender,Male
5445-GLVOT,0,Gender,Female
4355-CVPVS,0,Gender,Female
7661-CPURM,0,Gender,Male
8550-XSXUQ,0,Gender,Male
9971-ZWPBF,0,Gender,Male
3320-VEOYC,0,Gender,Male
8149-RSOUN,1,Gender,Female
5168-MSWXT,0,Gender,Male
8626-PTQGE,0,Gender,Male
6671-NGWON,0,Gender,Female
4318-RAJVY,0,Gender,Female
6407-UTSLV,0,Gender,Female
8878-HMWBV,1,Gender,Male
7754-IXRMC,0,Gender,Female
1746-TGTWV,0,Gender,Male
7176-WRTNX,0,Gender,Male
2587-YNLES,0,Gender,Female
7718-RXDGG,0,Gender,Male
9850-OWRHQ,1,Gender,Female
1397-XKKWR,0,Gender,Male
8033-ATFAS,0,Gender,Female
7145-FEJWU,0,Gender,Female
8905-IAZPF,0,Gender,Female
0082-OQIQY,0,Gender,Male
0377-JBKKT,0,Gender,Male
0795-LAFGP,0,Gender,Male
8417-GSODA,0,Gender,Male
9442-JTWDL,0,Gender,Female
5751-USDBL,0,Gender,Male
4465-VDKIQ,0,Gender,Female
6467-CHFZW,1,Gender,Male
7976-CICYS,0,Gender,Male
2178-PMGCJ,0,Gender,Male
6050-FFXES,0,Gender,Female
7128-GGCNO,0,Gender,Male
1567-DSCIC,1,Gender,Male
5495-GPSRW,0,Gender,Male
1403-LKLIK,0,Gender,Female
4323-OHFOW,0,Gender,Female
7817-OMJNA,0,Gender,Male
2582-FFFZR,0,Gender,Female
7968-QUXNS,0,Gender,Male
6877-LGWXO,1,Gender,Male
4603-JANFB,1,Gender,Male
1972-XMUWV,0,Gender,Female
3345-PBBFH,0,Gender,Male
2227-JRSJX,0,Gender,Female
0336-KXKFK,0,Gender,Male
0107-WESLM,1,Gender,Male
2786-GCDPI,0,Gender,Female
6234-RAAPL,0,Gender,Female
1169-WCVAK,0,Gender,Male
5445-UTODQ,1,Gender,Female
2749-CTKAJ,0,Gender,Male
1534-OULXE,0,Gender,Female
8819-WFGGJ,0,Gender,Male
8329-IBCTI,1,Gender,Female
0488-GSLFR,1,Gender,Female
1998-VHJHK,0,Gender,Female
4257-GAESD,0,Gender,Female
9631-RXVJM,0,Gender,Male
0859-YGKFW,0,Gender,Male
4424-TKOPW,1,Gender,Male
5539-TMZLF,1,Gender,Male
1816-FLZDK,0,Gender,Male
4404-HIBDJ,1,Gender,Female
3552-CTCYF,0,Gender,Male
5981-ITEMU,1,Gender,Male
0112-QWPNC,1,Gender,Male
8591-TKMZH,0,Gender,Male
3324-OIRTO,0,Gender,Male
5456-ITGIC,0,Gender,Male
8328-SKJNO,0,Gender,Male
2931-VUVJN,0,Gender,Female
1930-WNXSB,0,Gender,Male
5567-GZKQY,0,Gender,Male
1853-UDXBW,1,Gender,Male
9137-NOQKA,0,Gender,Male
1400-WIVLL,0,Gender,Male
4706-DGAHW,0,Gender,Male
7033-CLAMM,0,Gender,Female
0743-HRVFF,0,Gender,Female
2789-CZANW,0,Gender,Female
0895-LNKRC,0,Gender,Male
4789-KWMXN,1,Gender,Male
0244-LGNFY,0,Gender,Female
3285-UCQVC,1,Gender,Female
7903-CMPEY,1,Gender,Male
0565-IYCGT,1,Gender,Male
1862-QRWPE,0,Gender,Female
4729-XKASR,1,Gender,Male
9919-FZDED,0,Gender,Male
8106-GWQOK,0,Gender,Male
1216-BGTSP,0,Gender,Male
1194-HVAIF,0,Gender,Female
0512-FLFDW,0,Gender,Female
9367-WXLCH,1,Gender,Male
5032-MIYKT,0,Gender,Female
2606-RMDHZ,1,Gender,Male
2480-JZOSN,0,Gender,Female
2858-EIMXH,0,Gender,Female
6752-APNJL,0,Gender,Male
9972-NKTFD,0,Gender,Female
9142-KZXOP,0,Gender,Male
9081-WWXKP,0,Gender,Female
5442-XSDCW,1,Gender,Male
9167-APMXZ,0,Gender,Female
9831-BPFRI,1,Gender,Female
5787-KXGIY,0,Gender,Male
4939-KYYPY,0,Gender,Male
2911-UREFD,1,Gender,Female
9798-DRYDS,0,Gender,Female
1686-STUHN,0,Gender,Male
0208-BPQEJ,0,Gender,Female
1635-HDGFT,0,Gender,Female
0675-NCDYU,0,Gender,Female
1600-DILPE,0,Gender,Female
4709-LKHYG,0,Gender,Female
1619-YWUBB,0,Gender,Female
3606-TWKGI,1,Gender,Male
5808-TOTXO,0,Gender,Female
6896-SRVYQ,0,Gender,Male
9362-MWODR,0,Gender,Female
7016-NVRIC,0,Gender,Male
4317-VTEOA,1,Gender,Male
2504-DSHIH,0,Gender,Male
0843-WTBXE,1,Gender,Male
4572-DVCGN,1,Gender,Female
7175-NTIXE,0,Gender,Female
2220-IAHLS,0,Gender,Female
9860-LISIZ,0,Gender,Female
9522-BNTHX,0,Gender,Female
7239-HZZCX,1,Gender,Male
8152-VETUR,0,Gender,Female
4707-YNOQA,0,Gender,Female
7516-GMHUV,0,Gender,Male
5440-VHLUL,0,Gender,Male
9995-HOTOH,0,Gender,Male
3810-PJUHR,0,Gender,Male
9526-JAWYF,1,Gender,Male
1260-TTRXI,1,Gender,Male
7470-MCQTK,1,Gender,Female
2586-CWXVV,0,Gender,Male
8937-RDTHP,1,Gender,Male
4826-DXMUP,0,Gender,Male
4700-UBQMV,0,Gender,Male
4855-SNKMY,1,Gender,Female
6976-BWGLQ,0,Gender,Female
7131-ZQZNK,0,Gender,Female
4795-UXVCJ,0,Gender,Male
1612-EOHDH,1,Gender,Female
0139-IVFJG,0,Gender,Female
6734-PSBAW,0,Gender,Male
5155-AZQPB,0,Gender,Female
1644-IRKSF,1,Gender,Female
3629-ZNKXA,0,Gender,Male
2636-ALXXZ,1,Gender,Female
6007-TCTST,0,Gender,Female
1395-OFUWC,0,Gender,Male
1075-BGWOH,1,Gender,Male
3571-DPYUH,0,Gender,Male
2830-LEWOA,0,Gender,Male
8999-BOHSE,1,Gender,Female
4568-TTZRT,0,Gender,Male
7317-GGVPB,1,Gender,Male
7560-QJAVJ,0,Gender,Female
1360-RCYRT,0,Gender,Male
3092-IGHWF,1,Gender,Male
7471-WNSUF,0,Gender,Male
2050-ONYDQ,0,Gender,Female
8375-DKEBR,1,Gender,Female
6692-UDPJC,1,Gender,Female
3070-DVEYC,1,Gender,Male
7779-ORAEL,0,Gender,Male
2141-RRYGO,1,Gender,Female
2804-ETQDK,0,Gender,Male
6362-QHAFM,0,Gender,Male
0233-FTHAV,0,Gender,Female
9823-EALYC,0,Gender,Male
4236-UJPWO,0,Gender,Female
1555-HAPSU,0,Gender,Female
6169-PGNCD,0,Gender,Female
1442-BQPVU,0,Gender,Female
7515-LODFU,0,Gender,Male
5678-VFNEQ,0,Gender,Female
1730-VFMWO,0,Gender,Female
7449-HVPIV,0,Gender,Male
3719-TDVQB,0,Gender,Female
0956-ACVZC,0,Gender,Female
3411-WLRSQ,0,Gender,Female
2480-EJWYP,0,Gender,Female
2947-DOMLJ,1,Gender,Male
4075-JFPGR,0,Gender,Female
9365-SRSZE,0,Gender,Male
2371-JQHZZ,0,Gender,Male
1153-GNOLC,0,Gender,Male
0788-DXBFY,0,Gender,Male
2144-ESWKO,0,Gender,Male
6685-XSHHU,0,Gender,Male
4092-OFQZS,0,Gender,Male
5151-HQRDG,0,Gender,Male
2972-YDYUW,0,Gender,Female
9283-LZQOH,1,Gender,Male
7581-EBBOU,0,Gender,Female
4883-KCPZJ,0,Gender,Female
6916-HIJSE,0,Gender,Female
3336-JORSO,1,Gender,Female
0744-GKNGE,0,Gender,Female
1352-HNSAW,0,Gender,Female
3506-OVLKD,0,Gender,Male
1343-EHPYB,1,Gender,Male
3007-FDPEA,0,Gender,Female
4832-VRBMR,0,Gender,Male
7945-PRBVF,0,Gender,Male
3082-WQRVY,0,Gender,Male
0975-VOOVL,0,Gender,Female
1833-TCXKK,0,Gender,Male
3847-BAERP,0,Gender,Female
4654-ULTTN,0,Gender,Male
9633-DENPU,0,Gender,Female
8189-HBVRW,0,Gender,Female
6227-HWPWX,1,Gender,Female
5989-PGKJB,0,Gender,Female
5202-IVJNU,1,Gender,Female
6804-GDMOI,1,Gender,Female
6051-PTVNS,0,Gender,Female
5199-FPUSP,0,Gender,Male
6963-EZQEE,0,Gender,Male
0655-YDGFJ,0,Gender,Male
2495-KZNFB,0,Gender,Female
8410-BGQXN,0,Gender,Male
4195-PNGZS,0,Gender,Male
0872-CASZJ,0,Gender,Male
9489-JMTTN,0,Gender,Female
3334-CTHOL,1,Gender,Female
